ProteinID,GeneID,Query.Length,Description,SequenceID,Length,GeneSymbol,GeneSymbol2
FUN_009356-T1,FUN_009356,5 Length: 182,Tetratricopeptide repeat protein 36-like protein [Acropora cervicornis],KAK2550555.1,115,ZFP36L1,ZFP36L1
FUN_009359-T1,FUN_009359,6 Length: 218,5'-AMP-activated protein kinase subunit beta-1 [Acropora cervicornis],KAK2550561.1,260,TGFBRE,TGFBRE
FUN_009361-T1,FUN_009361,7 Length: 158,60S ribosomal protein L24 [Acropora cervicornis],KAK2550554.1,117,MRPL24,MRPL24
FUN_009364-T1,FUN_009364,Length:310,Lambda-crystallin-like protein [Acropora cervicornis],KAK2550588.1,348,GPRASP1,GPRASP1
FUN_009366-T1,FUN_009366,8 Length: 439,Monocarboxylate transporter 10 [Acropora cervicornis],KAK2550585.1,1069,SLC21A10,SLC21A10
FUN_009369-T1,FUN_009369,9 Length: 4190,Plectin [Acropora cervicornis],KAK2550582.1,3933,PLEC,PLEC
FUN_009370-T1,FUN_009370,0 Length: 600,myosin-11-like [Acropora millepora],XP_029211184.2,797,NA,NA
FUN_009371-T1,FUN_009371,1 Length: 273,myosin-11-like [Acropora millepora],XP_029211184.2,797,NA,NA
FUN_009375-T1,FUN_009375,2 Length: 781,hypothetical protein P5673_028784 [Acropora cervicornis],KAK2550577.1,627,NA,NA
FUN_009400-T1,FUN_009400,3 Length: 417,STAM-binding protein [Acropora cervicornis],KAK2566254.1,414,STAMBP,STAMBP
FUN_009405-T1,FUN_009405,4 Length: 131,Ragulator complex protein LAMTOR3-A [Acropora cervicornis],KAK2566296.1,166,EIPR1,EIPR1
FUN_009428-T1,FUN_009428,5 Length: 798,Tyrosine kinase receptor Cad96Ca [Acropora cervicornis],KAK2566439.1,847,ROR1,ROR1
FUN_009440-T1,FUN_009440,6 Length: 510,prenylcysteine oxidase 1-like [Acropora millepora],XP_029212432.2,498,PCYOX1L,PCYOX1L
FUN_009442-T1,FUN_009442,7 Length: 1359,hypothetical protein P5673_009583 [Acropora cervicornis],KAK2566138.1,1362,NA,NA
FUN_009454-T1,FUN_009454,8 Length: 232,Translocon-associated protein subunit alpha [Acropora cervicornis],KAK2566286.1,204,GNA11,GNA11
FUN_009457-T1,FUN_009457,9 Length: 1469,FH1/FH2 domain-containing protein 3-like [Acropora muricata],XP_067053375.1,1469,NA,NA
FUN_009463-T1,FUN_009463,0 Length: 278,Flap endonuclease 1 [Acropora cervicornis],KAK2566194.1,319,FEN1P1,FEN1P1
FUN_009464-T1,FUN_009464,1 Length: 683,PREDICTED: U4/U6 small nuclear ribonucleoprotein Prp3-like [Acropora digitifera],XP_015774527.1,644,NA,NA
FUN_009474-T1,FUN_009474,2 Length: 1902,"Ankyrin-3, partial [Acropora cervicornis]",KAK2560326.1,651,LGI1,LGI1
FUN_009499-T1,FUN_009499,3 Length: 857,PREDICTED: LOW QUALITY PROTEIN: ATP-dependent RNA helicase DDX54-like [Acropora digitifera],XP_015763442.1,788,HFM1,HFM1
FUN_009500-T1,FUN_009500,4 Length: 293,hypothetical protein P5673_031594 [Acropora cervicornis],KAK2548267.1,354,NA,NA
FUN_009509-T1,FUN_009509,5 Length: 208,extended synaptotagmin-3-like [Acropora millepora],XP_044170508.1,766,SYTL3,SYTL3
FUN_009510-T1,FUN_009510,6 Length: 567,extended synaptotagmin-3-like [Acropora millepora],XP_044170508.1,766,SYTL3,SYTL3
FUN_009512-T1,FUN_009512,7 Length: 682,pantetheinase-like [Acropora millepora],XP_044181583.1,504,NA,NA
FUN_009522-T1,FUN_009522,8 Length: 454,Tetratricopeptide repeat protein 38 [Acropora cervicornis],KAK2548284.1,316,TTC38,TTC38
FUN_009524-T1,FUN_009524,9 Length: 1236,Cullin-associated NEDD8-dissociated protein 1 [Acropora cervicornis],KAK2548276.1,1141,MAPK1IP1L,MAPK1IP1L
FUN_009527-T1,FUN_009527,0 Length: 467,Tetratricopeptide repeat protein 38 [Acropora cervicornis],KAK2548284.1,316,TTC38,TTC38
FUN_009532-T1,FUN_009532,1 Length: 374,Protein 4.1 [Acropora cervicornis],KAK2560029.1,283,EPB41L1,EPB41L1
FUN_009533-T1,FUN_009533,2 Length: 617,Cholinesterase [Acropora cervicornis],KAK2560030.1,523,NA,NA
FUN_009536-T1,FUN_009536,3 Length: 310,26S proteasome non-ATPase regulatory subunit 14 [Acropora cervicornis],KAK2560032.1,443,PSMD14,PSMD14
FUN_009538-T1,FUN_009538,4 Length: 472,Myelin expression factor 2 [Acropora cervicornis],KAK2560033.1,483,MYEF2,MYEF2
FUN_009539-T1,FUN_009539,5 Length: 493,Serine/threonine-protein kinase 3 [Acropora cervicornis],KAK2559950.1,463,NA,NA
FUN_009540-T1,FUN_009540,6 Length: 452,bone morphogenetic protein 7-like [Acropora millepora],XP_029201748.1,452,BMP1,BMP1
FUN_009542-T1,FUN_009542,7 Length: 179,mediator of RNA polymerase II transcription subunit 30-like [Acropora muricata],XP_067048564.1,179,POLR2A,POLR2A
FUN_009545-T1,FUN_009545,8 Length: 264,Sepiapterin reductase [Acropora cervicornis],KAK2559945.1,206,ALDRL2,ALDRL2
FUN_009547-T1,FUN_009547,9 Length: 702,EGF-like repeat and discoidin I-like domain-containing protein 3 [Acropora cervicornis],KAK2559941.1,759,UBTFL4,UBTFL4
FUN_009549-T1,FUN_009549,0 Length: 307,"Amine sulfotransferase, partial [Acropora cervicornis]",KAK2559975.1,966,GAL3ST1,GAL3ST1
FUN_009550-T1,FUN_009550,1 Length: 309,"Amine sulfotransferase, partial [Acropora cervicornis]",KAK2559975.1,966,GAL3ST1,GAL3ST1
FUN_009551-T1,FUN_009551,2 Length: 307,"Amine sulfotransferase, partial [Acropora cervicornis]",KAK2559975.1,966,GAL3ST1,GAL3ST1
FUN_009554-T1,FUN_009554,3 Length: 1764,LOW QUALITY PROTEIN: kinesin-like protein KIF13B [Acropora millepora],XP_044181974.1,1759,KIF23,KIF23
FUN_009556-T1,FUN_009556,4 Length: 1001,E3 ubiquitin-protein ligase MIB2 [Acropora cervicornis],KAK2559971.1,787,TRIM32,TRIM32
FUN_009558-T1,FUN_009558,5 Length: 141,uncharacterized protein [Acropora muricata],XP_067048565.1,149,GPRASP1,GPRASP1
FUN_009559-T1,FUN_009559,6 Length: 369,DnaJ-like protein subfamily B member 14 [Acropora cervicornis],KAK2559887.1,303,KCNJ14,KCNJ14
FUN_009583-T1,FUN_009583,7 Length: 2869,Apolipophorin [Acropora cervicornis],KAK2567954.1,983,NA,NA
FUN_009601-T1,FUN_009601,8 Length: 336,coatomer subunit epsilon-like [Montipora foliosa],XP_068693693.1,299,PLCL1,PLCL1
FUN_009608-T1,FUN_009608,9 Length: 465,chitinase-3-like protein 1 [Acropora muricata],XP_067016192.1,465,MAPK1IP1L,MAPK1IP1L
FUN_009623-T1,FUN_009623,0 Length: 127,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-like [Montipora foliosa],XP_068693437.1,127,PDHA1,PDHA1
FUN_009624-T1,FUN_009624,1 Length: 160,uncharacterized protein [Acropora muricata],XP_067056449.1,121,GPRASP1,GPRASP1
FUN_009627-T1,FUN_009627,2 Length: 881,elongation factor 2-like [Acropora millepora],XP_029194167.1,840,NXT2,NXT2
FUN_009628-T1,FUN_009628,3 Length: 502,FERM domain-containing protein 3 [Acropora cervicornis],KAK2567937.1,468,ISM2,ISM2
FUN_009630-T1,FUN_009630,4 Length: 720,Mucosa-associated lymphoid tissue lymphoma translocation protein 1-like protein [Acropora cervicornis],KAK2567935.1,668,FILIP1LP1,FILIP1LP1
FUN_009632-T1,FUN_009632,5 Length: 184,"histone H1-beta, late embryonic-like [Acropora millepora]",XP_029194152.1,184,LAMTOR1,LAMTOR1
FUN_009638-T1,FUN_009638,6 Length: 1516,Pregnancy zone protein [Acropora cervicornis],KAK2568089.1,949,MZB1,MZB1
FUN_009642-T1,FUN_009642,7 Length: 1525,Pregnancy zone protein [Acropora cervicornis],KAK2568089.1,949,MZB1,MZB1
FUN_009644-T1,FUN_009644,8 Length: 794,Pregnancy zone protein [Acropora cervicornis],KAK2568089.1,949,MZB1,MZB1
FUN_009645-T1,FUN_009645,9 Length: 732,Pregnancy zone protein [Acropora cervicornis],KAK2568089.1,949,MZB1,MZB1
FUN_009649-T1,FUN_009649,0 Length: 435,Acid phosphatase type 7 [Acropora cervicornis],KAK2567843.1,692,PTPN7,PTPN7
FUN_009650-T1,FUN_009650,1 Length: 104,RIIa domain-containing protein 1 [Acropora cervicornis],KAK2567844.1,267,RCBTB1,RCBTB1
FUN_009651-T1,FUN_009651,2 Length: 553,Nicalin-1 [Acropora cervicornis],KAK2567845.1,550,NA,NA
FUN_009654-T1,FUN_009654,3 Length: 443,Aldehyde dehydrogenase 1A1 [Acropora cervicornis],KAK2567848.1,492,H6PD,H6PD
FUN_009656-T1,FUN_009656,4 Length: 563,Hematopoietic SH2 domain-containing protein-like protein [Acropora cervicornis],KAK2567849.1,626,MLPL1,MLPL1
FUN_009657-T1,FUN_009657,5 Length: 1020,ubiquitin-like modifier-activating enzyme 6 [Acropora muricata],XP_067056970.1,1019,UBA6,UBA6
FUN_009660-T1,FUN_009660,6 Length: 162,hypothetical protein P5673_007891 [Acropora cervicornis],KAK2567988.1,162,NA,NA
FUN_009662-T1,FUN_009662,7 Length: 211,GTP-binding protein Rit1 [Acropora cervicornis],KAK2567987.1,201,GEM,GEM
FUN_009665-T1,FUN_009665,8 Length: 1240,Proprotein convertase subtilisin/kexin type 5 [Acropora cervicornis],KAK2567981.1,911,NA,NA
FUN_009666-T1,FUN_009666,9 Length: 385,Isocitrate dehydrogenase [NAD] subunit alpha [Acropora cervicornis],KAK2567983.1,393,BCKDHA,BCKDHA
FUN_009667-T1,FUN_009667,20 Length: 136,histone H3 [Acropora cervicornis],KAK2555977.1,395,H3-3A,H3-3A
FUN_009677-T1,FUN_009677,Length: 377,LOW QUALITY PROTEIN: peroxidasin homolog [Acropora millepora],XP_029192681.2,1480,TCF25,TCF25
FUN_009678-T1,FUN_009678,Length: 135,Cytochrome c oxidase subunit 5A [Acropora cervicornis],KAK2568124.1,108,COX5A,COX5A
FUN_009685-T1,FUN_009685,Length: 790,Patched domain-containing protein 3 [Acropora cervicornis],KAK2558113.1,1925,ISM2,ISM2
FUN_009694-T1,FUN_009694,Length: 1091,Patched domain-containing protein 3 [Acropora cervicornis],KAK2558041.1,1034,ISM2,ISM2
FUN_009697-T1,FUN_009697,Length: 609,hypothetical protein P5673_019739 [Acropora cervicornis],KAK2558155.1,625,NA,NA
FUN_009699-T1,FUN_009699,Length: 753,PREDICTED: solute carrier family 15 member 2-like [Acropora digitifera],XP_015759947.1,747,SLC6A15,SLC6A15
FUN_009706-T1,FUN_009706,Length: 299,putative inactive peptidyl-prolyl cis-trans isomerase-like 6 [Acropora cervicornis],KAK2558162.1,185,PIN1L2,PIN1L2
FUN_009708-T1,FUN_009708,Length: 245,PREDICTED: chloride intracellular channel protein 2-like [Acropora digitifera],XP_015759979.1,245,CLIC1,CLIC1
FUN_009713-T1,FUN_009713,Length: 330,Poly(A) RNA polymerase GLD2-A [Acropora cervicornis],KAK2558095.1,1138,LEO1,LEO1
FUN_009714-T1,FUN_009714,7 Length: 329,PREDICTED: poly(A) RNA polymerase GLD2-B-like isoform X1 [Acropora digitifera],XP_015759976.1,329,MTPAP,MTPAP
FUN_009729-T1,FUN_009729,8 Length: 399,Radial spoke head protein 3-like protein [Acropora cervicornis],KAK2550236.1,359,RSPH1,RSPH1
FUN_009732-T1,FUN_009732,9 Length: 201,Iron-sulfur cluster assembly enzyme ISCU [Acropora cervicornis],KAK2550288.1,315,ISCU,ISCU
FUN_009733-T1,FUN_009733,0 Length: 158,Iron-sulfur cluster assembly enzyme ISCU [Acropora cervicornis],KAK2550288.1,315,ISCU,ISCU
FUN_009734-T1,FUN_009734,1 Length: 305,"hypothetical protein P5673_029109, partial [Acropora cervicornis]",KAK2550234.1,246,NA,NA
FUN_009737-T1,FUN_009737,2 Length: 975,MORC family CW-type zinc finger protein 3 [Acropora cervicornis],KAK2550287.1,774,MORC3,MORC3
FUN_009738-T1,FUN_009738,3 Length: 485,Eukaryotic translation initiation factor 2 subunit 3 [Acropora cervicornis],KAK2550285.1,391,EIF2S3,EIF2S3
FUN_009739-T1,FUN_009739,4 Length: 561,radixin-like [Acropora millepora],XP_029214025.1,561,NF2,NF2
FUN_009751-T1,FUN_009751,5 Length: 159,"Collagen alpha-1(VI) chain, partial [Acropora cervicornis]",KAK2550216.1,170,COL6A1,COL6A1
FUN_009758-T1,FUN_009758,6 Length: 363,DnaJ-like protein subfamily C member 28 [Acropora cervicornis],KAK2550222.1,1784,OR4F28P,OR4F28P
FUN_009759-T1,FUN_009759,7 Length: 1180,DnaJ-like protein subfamily C member 28 [Acropora cervicornis],KAK2550222.1,1784,OR4F28P,OR4F28P
FUN_009764-T1,FUN_009764,8 Length: 125,Mitochondrial pyruvate carrier 2 [Acropora cervicornis],KAK2550278.1,125,MPC2,MPC2
FUN_009768-T1,FUN_009768,9 Length: 375,"ornithine transcarbamylase, mitochondrial-like [Acropora millepora]",XP_044178351.1,375,TUFMP1,TUFMP1
FUN_009792-T1,FUN_009792,0 Length: 371,Quinone oxidoreductase PIG3 [Acropora cervicornis],KAK2550265.1,249,SQOR,SQOR
FUN_009793-T1,FUN_009793,1 Length: 679,pseudouridylate synthase 7 homolog isoform X1 [Acropora palmata],XP_074627361.1,679,ACCS,ACCS
FUN_009798-T1,FUN_009798,2 Length: 412,splicing factor 3B subunit 4-like [Acropora millepora],XP_029187288.2,412,XRCC4L,XRCC4L
FUN_009801-T1,FUN_009801,3 Length: 583,glutathione hydrolase 1 proenzyme-like [Acropora muricata],XP_067028678.1,680,FAAHP1,FAAHP1
FUN_009803-T1,FUN_009803,4 Length: 158,Transcription factor BTF3 [Acropora cervicornis],KAK2569596.1,152,BTF3-DT,BTF3-DT
FUN_009805-T1,FUN_009805,5 Length: 161,hypothetical protein P5673_005735 [Acropora cervicornis],KAK2569880.1,419,NA,NA
FUN_009807-T1,FUN_009807,6 Length: 392,Histone-arginine methyltransferase CARM1 [Acropora cervicornis],KAK2569702.1,395,METTL3,METTL3
FUN_009808-T1,FUN_009808,7 Length: 233,hypothetical protein P5673_005657 [Acropora cervicornis],KAK2569808.1,112,NA,NA
FUN_009810-T1,FUN_009810,8 Length: 592,phosphatidylinositol-glycan biosynthesis class W protein-like [Acropora muricata],XP_067027984.1,511,MLPL1,MLPL1
FUN_009819-T1,FUN_009819,Length:677,ATP-binding cassette sub-family D member 3 [Acropora cervicornis],KAK2569552.1,582,ABCD3,ABCD3
FUN_009822-T1,FUN_009822,Length:664,Thimet oligopeptidase [Acropora cervicornis],KAK2569551.1,625,THOP1,THOP1
FUN_009823-T1,FUN_009823,Length:546,5'-AMP-activated protein kinase catalytic subunit alpha-2 [Acropora cervicornis],KAK2569541.1,472,PRKAA2,PRKAA2
FUN_009841-T1,FUN_009841,Length:295,BTB/POZ domain-containing protein 19 [Acropora cervicornis],KAK2569816.1,1463,NA,NA
FUN_009843-T1,FUN_009843,Length:143,thioredoxin-like [Acropora palmata],XP_074612050.1,113,TXNL1,TXNL1
FUN_009845-T1,FUN_009845,Length:512,hypothetical protein P5673_005862 [Acropora cervicornis],KAK2569994.1,341,NA,NA
FUN_009851-T1,FUN_009851,Length:304,putative very-long-chain enoyl-CoA reductase art-1 [Acropora cervicornis],KAK2569996.1,143,EHHADH,EHHADH
FUN_009852-T1,FUN_009852,Length:280,Sterol 24-C-methyltransferase [Acropora cervicornis],KAK2569959.1,287,SC4MOP,SC4MOP
FUN_009856-T1,FUN_009856,Length:1122,Protein patched-like protein 1 [Acropora cervicornis],KAK2569950.1,1066,MAPK1IP1L,MAPK1IP1L
FUN_009857-T1,FUN_009857,Length:128,"DNA-directed RNA polymerases I, II, and III subunit RPABC2-like [Orbicella faveolata]",XP_020624654.1,128,POLR2E,POLR2E
FUN_009860-T1,FUN_009860,Length:113,thioredoxin-like [Acropora palmata],XP_074612050.1,113,TXNL1,TXNL1
FUN_009861-T1,FUN_009861,Length:842,Protein Hook-like protein [Acropora cervicornis],KAK2569947.1,653,HMGA1P1,HMGA1P1
FUN_009862-T1,FUN_009862,Length:753,glutamate carboxypeptidase 2-like [Acropora millepora],XP_044164027.1,753,AGBL1,AGBL1
FUN_009863-T1,FUN_009863,Length:759,Glutamate carboxypeptidase 2 [Acropora cervicornis],KAK2569736.1,759,AGBL2,AGBL2
FUN_009865-T1,FUN_009865,Length:437,Ras-related protein Rab-3A [Acropora cervicornis],KAK2569629.1,213,GPRASP1,GPRASP1
FUN_009867-T1,FUN_009867,Length:221,ras-related protein Rab-3-like [Stylophora pistillata],XP_022781489.1,221,RABL3,RABL3
FUN_009869-T1,FUN_009869,Length:125,PREDICTED: thioredoxin-like [Acropora digitifera],XP_015748151.1,80,TXNL4A,TXNL4A
FUN_009873-T1,FUN_009873,Length:898,extracellular calcium-sensing receptor-like [Acropora muricata],XP_067026156.1,898,VN2R1P,VN2R1P
FUN_009874-T1,FUN_009874,Length:1329,hypothetical protein P5673_005397 [Acropora cervicornis],KAK2569572.1,2184,NA,NA
FUN_009874-T2,FUN_009874,Length:1804,hypothetical protein P5673_005397 [Acropora cervicornis],KAK2569572.1,2184,NA,NA
FUN_009876-T1,FUN_009876,Length:3330,hypothetical protein P5673_005751 [Acropora cervicornis],KAK2569895.1,3653,NA,NA
FUN_009879-T1,FUN_009879,Length:1005,LOW QUALITY PROTEIN: trichohyalin-like [Acropora millepora],XP_029189484.2,1426,TCHHL1,TCHHL1
FUN_009882-T1,FUN_009882,Length:435,Hydroxysteroid dehydrogenase-like protein 2 [Acropora cervicornis],KAK2569766.1,289,G6PDL,G6PDL
FUN_009885-T1,FUN_009885,Length:475,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [Acropora cervicornis],KAK2569764.1,804,NA,NA
FUN_009888-T1,FUN_009888,Length:311,"putative rRNA-processing protein EBP2, partial [Acropora cervicornis]",KAK2569769.1,307,FCF1,FCF1
FUN_009890-T1,FUN_009890,Length:592,uncharacterized protein LOC114954537 [Acropora millepora],XP_029186960.2,509,GPRASP1,GPRASP1
FUN_009892-T1,FUN_009892,Length:520,uncharacterized protein LOC114956541 [Acropora millepora],XP_029189515.2,516,GPRASP1,GPRASP1
FUN_009894-T1,FUN_009894,Length:322,"delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial-like [Acropora muricata]",XP_067026342.1,322,TUFMP1,TUFMP1
FUN_009895-T1,FUN_009895,Length:230,uncharacterized protein [Acropora muricata],XP_067026343.1,235,GPRASP1,GPRASP1
FUN_009898-T1,FUN_009898,Length:98,hypothetical protein,,NA,NA,NA
FUN_009909-T1,FUN_009909,Length:569,Methylcrotonoyl-CoA carboxylase beta chain [Acropora cervicornis],KAK2569525.1,446,ACACB,ACACB
FUN_009934-T1,FUN_009934,Length:886,Fibroblast growth factor receptor 3 [Acropora cervicornis],KAK2559465.1,528,FGFR3P3,FGFR3P3
FUN_009935-T1,FUN_009935,Length:228,Tetratricopeptide repeat protein 1 [Acropora cervicornis],KAK2559467.1,172,LRR1,LRR1
FUN_009955-T1,FUN_009955,Length:302,L-rhamnose-binding lectin ELEL-1 [Acropora cervicornis],KAK2559318.1,289,KLRA1P,KLRA1P
FUN_009960-T1,FUN_009960,Length:706,Translation initiation factor eIF-2B subunit epsilon [Acropora cervicornis],KAK2559316.1,598,EIF2B5,EIF2B5
FUN_009964-T1,FUN_009964,Length:1013,Glutamyl aminopeptidase [Acropora cervicornis],KAK2559469.1,1178,KNPEP,KNPEP
FUN_009964-T2,FUN_009964,Length:980,Glutamyl aminopeptidase [Acropora cervicornis],KAK2559469.1,1178,KNPEP,KNPEP
FUN_009966-T1,FUN_009966,Length:1117,colorectal mutant cancer protein-like isoform X1 [Acropora millepora],XP_029207665.2,1117,MLPL1,MLPL1
FUN_009968-T1,FUN_009968,Length:1489,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase [Acropora cervicornis],KAK2559497.1,680,PPIP5K1,PPIP5K1
FUN_009974-T1,FUN_009974,Length:849,Protein PAT1-like protein 1 [Acropora cervicornis],KAK2559412.1,974,MAPK1IP1L,MAPK1IP1L
FUN_009984-T1,FUN_009984,Length:450,CUB and peptidase domain-containing protein 1 [Acropora cervicornis],KAK2559444.1,308,PAMR1,PAMR1
FUN_009992-T1,FUN_009992,Length:815,PREDICTED: DNA replication licensing factor MCM6-like [Acropora digitifera],XP_015772227.1,771,CDT1,CDT1
FUN_009995-T1,FUN_009995,Length:1088,Rap guanine nucleotide exchange factor 4 [Acropora cervicornis],KAK2564970.1,700,RAPGEF4,RAPGEF4
FUN_010006-T1,FUN_010006,Length:355,PREDICTED: uncharacterized protein LOC107337360 [Acropora digitifera],XP_015757971.1,342,PLGRKT,PLGRKT
FUN_010008-T1,FUN_010008,Length:1003,PREDICTED: tax1-binding protein 1 homolog B-like [Acropora digitifera],XP_015772228.1,1003,SNRPBL1,SNRPBL1
FUN_010011-T1,FUN_010011,Length:280,ubiquitin-conjugating enzyme E2 Z-like isoform X1 [Montipora foliosa],XP_068671564.1,280,UBE2E2,UBE2E2
FUN_010012-T1,FUN_010012,Length:838,tuftelin-interacting protein 11-like [Acropora millepora],XP_029179434.1,838,TAF11L11,TAF11L11
FUN_010013-T1,FUN_010013,Length:404,"Glycerol-3-phosphate dehydrogenase [NAD+], partial [Acropora cervicornis]",KAK2564695.1,1050,GPD1,GPD1
FUN_010019-T1,FUN_010019,Length:708,double-stranded RNA-specific editase 1-like [Acropora millepora],XP_029179427.2,708,SSAV1L,SSAV1L
FUN_010022-T1,FUN_010022,Length:774,hypothetical protein P5673_011635 [Acropora cervicornis],KAK2564926.1,174,NA,NA
FUN_010025-T1,FUN_010025,9 Length: 434,Abl interactor 1 [Acropora cervicornis],KAK2564929.1,419,ABI1P1,ABI1P1
FUN_010026-T1,FUN_010026,0 Length: 91,hypothetical protein,,NA,NA,NA
FUN_010030-T1,FUN_010030,1 Length: 254,MKI67 FHA domain-interacting nucleolar phosphoprotein-like [Acropora cervicornis],KAK2564797.1,304,NIFK,NIFK
FUN_010031-T1,FUN_010031,2 Length: 470,PREDICTED: putative malate dehydrogenase 1B [Acropora digitifera],XP_015756529.1,470,MDH1B,MDH1B
FUN_010037-T1,FUN_010037,3 Length: 315,unnamed protein product [Porites lobata],CAH3140454.1,316,UBA52,UBA52
FUN_010041-T1,FUN_010041,4 Length: 365,hypothetical protein P5673_011437 [Acropora cervicornis],KAK2564754.1,396,NA,NA
FUN_010042-T1,FUN_010042,5 Length: 585,60 kDa heat shock protein [Acropora cervicornis],KAK2564756.1,616,HIKESHI,HIKESHI
FUN_010043-T1,FUN_010043,6 Length: 100,10 kDa heat shock protein [Acropora cervicornis],KAK2564755.1,128,HSPA8P10,HSPA8P10
FUN_010048-T1,FUN_010048,7 Length: 441,GDP-fucose protein O-fucosyltransferase 2 [Acropora cervicornis],KAK2564762.1,428,POFUT2,POFUT2
FUN_010050-T1,FUN_010050,8 Length: 485,Serine hydroxymethyltransferase [Acropora cervicornis],KAK2571748.1,487,SHMT1,SHMT1
FUN_010052-T1,FUN_010052,9 Length: 408,Dynactin subunit 2 [Acropora cervicornis],KAK2564894.1,408,EIF2S2P2,EIF2S2P2
FUN_010053-T1,FUN_010053,0 Length: 242,14-3-3 protein beta/alpha-1 [Acropora cervicornis],KAK2564895.1,457,NA,NA
FUN_010054-T1,FUN_010054,1 Length: 241,14-3-3 protein beta/alpha-1 [Acropora cervicornis],KAK2564895.1,457,NA,NA
FUN_010056-T1,FUN_010056,2 Length: 231,DNA polymerase iota [Acropora cervicornis],KAK2565051.1,763,POLI,POLI
FUN_010060-T1,FUN_010060,3 Length: 669,Sodium/myo-inositol cotransporter [Acropora cervicornis],KAK2565045.1,1158,NA,NA
FUN_010061-T1,FUN_010061,4 Length: 468,Sodium/myo-inositol cotransporter [Acropora cervicornis],KAK2565045.1,1158,NA,NA
